target_type,name,target_value,unit,created_at,notes
1RM,Barbell Bench Press (Strength),100.0,kg,2026-07-08T02:41:57,Target estimated one rep max
Body Fat,Body Fat %,10.0,%,2026-07-08T02:42:03,Target body fat percentage
